"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
    Test Case: NAF-91
    As a user during onboarding, I should be able to start one of the recommended programs right from the onboarding
    Scenario: Valid program selection and start
    Steps:
    1. Open the app, assume the user is logged in
    2. Click on first recommended program
    3. Verify 'Start Program' button is displayed
    4. Click on 'Start Program' button
    5. Finish first day of the program
    ","76448","test_NAF_4_2_0_valid_program_selection_and_start","tests.android","Fri Sep 12 18:04:07 JST 2025","passed","Fri Sep 12 18:05:23 JST 2025","TestProgramManagement","test_4_Program_Management","",""
"
    Test Case: NAF-98, NAF-99, NAF-105
    As a user I can enroll/unenroll any of the programs
    Scenario: Start a program
    Steps:
    1. Open the app, assume the user is logged in
    2. Go to the Programs tab
    3. Click on a program card
    4. If not enrolled, enroll first
    5. Click 'Start Program' button
    6. Verify 'Day 1 complete!' popup is displayed
    7. Click 'Back Home' button
    ","79354","test_NAF_4_5_0_start_a_program","tests.android","Fri Sep 12 18:06:14 JST 2025","passed","Fri Sep 12 18:07:34 JST 2025","TestProgramManagement","test_4_Program_Management","",""
"
    Test Case: NAF-272
    As a user, I want to interact with post: 'Like' post, leave comments
    Scenario: Verify adding a comment to a post
    
    Steps:
    1. Open the app, assume the user is logged in
    2. Go to 'Community' tab
    3. Find a post with comments
    4. Click on comment button
    5. Add a new comment
    6. Verify comment is added successfully
    
    Expected Result: User should be able to add comments to posts
    ","25228","test_NAF_14_4_0_verify_adding_comment_to_post","tests.android","Fri Sep 12 18:11:51 JST 2025","passed","Fri Sep 12 18:12:16 JST 2025","TestCommunityManagement","test_14_Community","",""
"
Test that a user with admin role can access the profile page and edit profile information.

Test Steps:
1. Launch the browser
2. Go to the login page
3. Enter the admin credentials
4. Click the login button
5. Verify that the user is logged in
6. Click the profile button
7. Verify that the user is on the profile page
8. Click the edit profile button
9. Enter the new profile information
10. Click the save button
11. Verify that the profile information is updated
","19673","test_NAF_7_4_0_Edit_Profile","tests.web","Fri Sep 12 17:46:22 JST 2025","passed","Fri Sep 12 17:46:42 JST 2025","","test_7_CMS_Authentication","",""
"
    Test Case: NAF-110
    As a user I should be able to check programs details
    Scenario: Comment under enrolled program
    Steps:
    1. Open the app, assume the user is logged in
    2. Go to the Programs tab
    3. Click on a program card
    4. If not enrolled, enroll first
    5. Click Day 1 video
    6. Click comments entry
    7. Click write a comment
    8. Enter comment and send
    9. Verify comment is posted
    ","529","test_NAF_4_8_0_comment_under_enrolled_program","tests.ios","Fri Sep 12 18:20:13 JST 2025","passed","Fri Sep 12 18:20:13 JST 2025","TestProgramManagement","test_4_Program_Management","",""
"
Test that an admin user can create and edit programs.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Programs section
4. Create a new program with random title
5. Wait for page to load after program creation
6. Edit the created program
7. Verify changes are saved successfully
","23104","test_NAF_9_8_0_Edit_Program","tests.web","Fri Sep 12 17:49:15 JST 2025","passed","Fri Sep 12 17:49:38 JST 2025","","test_9_Programs_Management","",""
"
    Test Case: NAF-268
    As a user I want to create text or text + image posts to share with the community
    Scenario: Verify post fields after sending
    
    Steps:
    1. Open the app, assume the user is logged in
    2. Go to ""Community"" tab
    3. Click ""NEW POST"" button
    4. Verify post input field is present and editable
    5. Enter text content
    6. Click ""Post"" button
    7. Verify post fields are cleared after sending
    
    Expected Result: Post input field should be present, editable, and cleared after posting
    ","0","test_NAF_14_2_0_verify_post_fields_after_sending","tests.ios","Fri Sep 12 18:20:55 JST 2025","passed","Fri Sep 12 18:20:55 JST 2025","TestCommunityManagement","test_14_Community","",""
"
Test Case 204: Verify the ""Mark as unread"" functionality after marking as read.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Notifications page
4. Switch to Read tab
5. Mark the first read notification as unread
6. Verify notification has been marked as unread
","6861","test_CMS_11_5_0_Mark_Notification_As_Unread","tests.web","Fri Sep 12 17:49:50 JST 2025","passed","Fri Sep 12 17:49:57 JST 2025","","test_11_CMS_Notifications","",""
"
Test Case 213: Verify ability to delete notification from 3 dots menu.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Notifications page
4. Check for unread notifications
5. If no unread notifications, switch to Read tab
6. Delete notification from 3 dots menu
7. Verify notification is deleted successfully
","4975","test_CMS_11_13_0_Delete_From_Three_Dots_Menu","tests.web","Fri Sep 12 17:50:40 JST 2025","passed","Fri Sep 12 17:50:45 JST 2025","","test_11_CMS_Notifications","",""
"
Test that an admin user can upload a video thumbnail.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Video section
4. Upload a new video with random title
5. Upload/Change thumbnail for the video
6. Verify thumbnail is successfully uploaded
","28736","test_NAF_8_12_0_Upload_Thumbnail","tests.web","Fri Sep 12 17:47:59 JST 2025","passed","Fri Sep 12 17:48:28 JST 2025","","test_8_CMS_Video_Management","",""
"
    Test Case: NAF-19
    As a user, I want to stay logged in for as long as possible, so that I don't have to log in frequently
    Scenario: Stay Logged In (Quick Test - 30 seconds)
    
    Steps:
    1. Open the app, user is already logged in
    2. Close the app, wait for 30 seconds
    3. Open the app, User is still logged in and is redirected to the Home page
    ","38061","test_NAF_2_4_0_stay_logged_in_quick","tests.ios","Fri Sep 12 18:17:51 JST 2025","passed","Fri Sep 12 18:18:29 JST 2025","TestAuthentication","test_2_Authentication","",""
"
    Test Case: NAF-14
    As a user, I want to log in with my email and password
    Scenario: Login Unsuccessful due to Incorrect Password
    
    Steps:
    1. Open the app
    2. Click on ""Log in"" button
    3. Click on ""Sign in with your email"" button
    4. Enter valid email: qingqin@topflightapps.com
    5. Enter incorrect password: Aa1234567
    6. Click ""Log in"" button
    7. Verify error message appears
    
    Expected Result: Error message ""The password you entered is incorrect"" should be displayed
    ","23104","test_NAF_2_2_0_login_with_wrong_password","tests.android","Fri Sep 12 17:53:38 JST 2025","passed","Fri Sep 12 17:54:01 JST 2025","TestAuthentication","test_2_Authentication","",""
"
Test that an admin user can publish a video and verify it remains published after logout/login.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Video section
4. Upload a new video with random title
5. Publish the video
6. Logout and login again
7. Verify video is still published
","14358","test_NAF_8_9_0_Publish_Video","tests.web","Fri Sep 12 17:47:21 JST 2025","passed","Fri Sep 12 17:47:36 JST 2025","","test_8_CMS_Video_Management","",""
"
    Test Case: NAF-414
    As a user I want to be able to view challenge details
    Scenario: Challenge Information Display
    
    Steps:
    1. Open the app, assume the user is logged in   
    2. Go to ""Challenges"" tab
    3. Verify challenge information is displayed
    ","1","test_NAF_17_2_0_verify_challenge_information_display","tests.ios","Fri Sep 12 18:22:16 JST 2025","passed","Fri Sep 12 18:22:16 JST 2025","TestChallenge","test_17_Challenge","",""
"
Test Case 214: Verify ability to delete comment from comment/question thread.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Notifications page
4. Check for unread notifications
5. If no unread notifications, switch to Read tab
6. Open the first comment thread
7. Delete comment in thread
8. Verify comment is deleted successfully
","12192","test_CMS_11_14_0_Delete_From_Comment_Thread","tests.web","Fri Sep 12 17:50:45 JST 2025","passed","Fri Sep 12 17:50:57 JST 2025","","test_11_CMS_Notifications","",""
"
    Test Case: NAF-349
    As a user, I want an in-app notifications page, so that I can view all my missed notifications in one place, even if I missed the initial push notification.
    Scenario: Verify app opens to comment or post from notifications
    
    Steps:
    1. Open the app, assume the user is logged in       
    2. Go to ""Notifications"" tab
    3. Verify app opens to comment or post from notifications
    ","0","test_NAF_16_2_0_verify_app_opens_to_comment_or_post_from_notifications","tests.android","Fri Sep 12 18:12:32 JST 2025","passed","Fri Sep 12 18:12:32 JST 2025","TestNotification","test_16_Notification","",""
"
    Test Case: NAF-20
    As a user, I want to log out and log back in
    Scenario: Logout and Relogin
    
    Steps:
    1. Open the app
    2. Go to ""My Profile"" button
    3. Click on ""Log out"" button
    4. Verify successful logout
    5. Click on ""Log in"" button
    6. Verify successful login
    ","0","test_NAF_2_5_0_logout_and_relogin","tests.ios","Fri Sep 12 18:18:38 JST 2025","passed","Fri Sep 12 18:18:38 JST 2025","TestAuthentication","test_2_Authentication","",""
"
Test that an admin user can delete program using the 3 dots menu.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Programs section
4. Create a new program with random title
5. Delete the program using 3 dots menu
6. Verify program is successfully deleted
","21491","test_NAF_9_6_0_Delete_Program","tests.web","Fri Sep 12 17:48:54 JST 2025","passed","Fri Sep 12 17:49:15 JST 2025","","test_9_Programs_Management","",""
"
    Test Case: NAF-91
    As a user during onboarding, I should be able to start one of the recommended programs right from the onboarding
    Scenario: Valid program selection and start
    Steps:
    1. Open the app, assume the user is logged in
    2. Click on first recommended program
    3. Verify 'Start Program' button is displayed
    4. Click on 'Start Program' button
    5. Finish first day of the program
    ","347","test_NAF_4_2_0_valid_program_selection_and_start","tests.ios","Fri Sep 12 18:19:30 JST 2025","passed","Fri Sep 12 18:19:31 JST 2025","TestProgramManagement","test_4_Program_Management","",""
"
    Test Case: NAF-37, NAF-39
    As a registered user I can view and update my bio
    Scenario: Update Bio
    
    Steps:
    1. Open the app, assume the user is logged in
    2. Go to ""My Profile"" button
    3. Click on ""Edit"" button
    4. Enter bio content
    5. Click on ""Save"" button
    6. Verify bio content is updated
    
    Expected Result: Bio content is updated
    ","17934","test_NAF_3_2_0_update_bio","tests.android","Fri Sep 12 17:57:14 JST 2025","passed","Fri Sep 12 17:57:32 JST 2025","TestPersonInformationManagement","test_3_Account_Setup","",""
"
    Test Case: NAF-63
    As a registered user I can view and update my profile settings
    Scenario: Change Password, Fail with Old Password and Success with New Password
    
    Steps:
    1. Open the app, the user is logged in
    2. Log out
    3. Login with old password, should fail
    4. Login with new password, should success
    5. reset the password with default old one
    ","87482","test_NAF_3_4_0_change_password_wrong_old_password","tests.android","Fri Sep 12 17:59:34 JST 2025","passed","Fri Sep 12 18:01:02 JST 2025","TestPersonInformationManagement","test_3_Account_Setup","",""
"
    Test Case: NAF-133
    As a user I should be able to make progress in the program by completing each step of it
    Scenario: Mark step as complete
    Steps:
    1. Open the app, assume the user is logged in
    2. Go to the Programs tab
    3. Click on a program card
    4. If not enrolled, enroll first
    5. Click Day 1 video
    6. Click 'Mark as complete' button
    7. Verify 'Day 1 complete!' popup is displayed
    8. Click 'Back Home' button
    9. Verify progress is not 0%
    ","10","test_NAF_4_10_0_mark_step_as_complete","tests.android","Fri Sep 12 18:08:26 JST 2025","failed","Fri Sep 12 18:08:26 JST 2025","TestProgramManagement","test_4_Program_Management","",""
"
Test Case 212: Verify ability to close comments view.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Notifications page
4. Check for unread notifications
5. If no unread notifications, switch to Read tab
6. Click on the first notification entry
7. Close the comments view using Escape key
8. Verify comments view is closed successfully
","2945","test_CMS_11_12_0_Close_Comments_View","tests.web","Fri Sep 12 17:50:37 JST 2025","passed","Fri Sep 12 17:50:40 JST 2025","","test_11_CMS_Notifications","",""
"
    Test Case: NAF-93, NAF-96, NAF-97
    As a user on the home page I should be able to see the list of recommended programs
    Scenario: View list of recommended programs
    Steps:
    1. Open the app, assume the user is logged in
    2. Go to the Programs tab
    3. Verify the list of recommended programs is displayed
    4. Click on a program card
    5. Verify program detail page is displayed
    6. Verify program card information is displayed
    7. Verify program detail page is displayed
    ","10417","test_NAF_4_3_0_view_recommended_programs","tests.ios","Fri Sep 12 18:19:38 JST 2025","passed","Fri Sep 12 18:19:48 JST 2025","TestProgramManagement","test_4_Program_Management","",""
"
    Test Case: NAF-16
    As a user I want to reset my password if I forget it
    Scenario: Successful Password Reset Request
    
    Steps:
    1. Open the app, Go to the Login page
    2. Click the 'forgot password?' link
    3. Enter a valid registered email
    4. Click 'Submit' button
    ","17939","test_NAF_2_3_0_successful_password_reset_request","tests.ios","Fri Sep 12 18:16:44 JST 2025","passed","Fri Sep 12 18:17:02 JST 2025","TestAuthentication","test_2_Authentication","",""
"
    Test Case: NAF-345
    As a user, I want an in-app notifications page, so that I can view all my missed notifications in one place, even if I missed the initial push notification.
    Scenario: Verify notifications page is accessible
    
    Steps:
    1. Open the app, assume the user is logged in
    2. Go to ""Notifications"" tab
    3. Verify notifications page is accessible
    ","0","test_NAF_16_2_0_verify_notifications_page_is_accessible","tests.ios","Fri Sep 12 18:21:51 JST 2025","passed","Fri Sep 12 18:21:51 JST 2025","TestNotification","test_16_Notification","",""
"
    Test Case: NAF-271
    As a user, I want to interact with post: ""Like"" post, leave comments
    Scenario: Verify liking a post
    
    Steps:
    1. Open the app, assume the user is logged in
    2. Go to ""Community"" tab
    3. Find the first like button
    4. Record current like count
    5. Click like button
    6. Verify like count changes as expected
    
    Expected Result: User should be able to like posts and see like count change
    ","3106","test_NAF_14_4_0_verify_liking_post","tests.android","Fri Sep 12 18:10:24 JST 2025","passed","Fri Sep 12 18:10:27 JST 2025","TestCommunityManagement","test_14_Community","",""
"
Test Case 203: Verify that there is at least one unread notification.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Notifications page
4. Check for unread notifications
5. If no unread notifications, switch to Read tab
6. Verify notification columns are visible
7. Verify all required columns are present
","3009","test_CMS_11_4_0_Verify_Unread_Notifications_Exist","tests.web","Fri Sep 12 17:49:47 JST 2025","passed","Fri Sep 12 17:49:50 JST 2025","","test_11_CMS_Notifications","",""
"
Test Case 225: Verify Admin Post Creation with Text and Image
Test Case 226: Verify Admin Post Draft Saving
Test Case 229: Verify Published Post Information

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Community page
4. Create a post with image and publish it
5. Verify the post is created and displayed
6. Create another post and save as draft
","41446","test_12_2_0_Create_Post_In_Community","tests.web","Fri Sep 12 17:51:05 JST 2025","passed","Fri Sep 12 17:51:46 JST 2025","","test_12_CMS_Communities","",""
"
Test that an admin user can upload a new video to the platform with unpublished status.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Video section
4. Upload a new video with random title
5. Verify video is uploaded with unpublished status
6. Verify video appears in the videos list
","9201","test_NAF_8_7_0_Upload_Video_With_Unpublished_Status","tests.web","Fri Sep 12 17:47:02 JST 2025","passed","Fri Sep 12 17:47:11 JST 2025","","test_8_CMS_Video_Management","",""
"
Test that an admin user can view all videos uploaded to the CMS platform.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Video section
4. Verify all video columns are displayed correctly
5. Verify videos list is accessible
","2317","test_NAF_8_2_0_View_All_Videos_Uploaded","tests.web","Fri Sep 12 17:46:51 JST 2025","passed","Fri Sep 12 17:46:53 JST 2025","","test_8_CMS_Video_Management","",""
"
    Test Case: NAF-60
    As a registered user I can view and update my profile settings
    Scenario: Modify Mobile
    
    Steps:
    1. Open the app, assume the user is logged in
    2. Go to ""My Profile"" button
    3. Click on ""Edit"" button
    4. Enter mobile number
    5. Click on ""Save"" button   
    ","25539","test_NAF_3_4_0_modify_mobile","tests.android","Fri Sep 12 17:58:31 JST 2025","passed","Fri Sep 12 17:58:57 JST 2025","TestPersonInformationManagement","test_3_Account_Setup","",""
"
    Test Case: NAF-265
    As a user, I want to join a community based on my selected stage during onboarding.
    Scenario: Verify community feed navigation
    
    Steps:
    1. Open the app, assume the user is logged in
    2. Go to ""Community"" tab
    3. Verify community feed is displayed
    4. Verify community feed navigation is working
    ","319","test_NAF_14_1_0_verify_community_feed_navigation","tests.android","Fri Sep 12 18:08:40 JST 2025","passed","Fri Sep 12 18:08:40 JST 2025","TestCommunityManagement","test_14_Community","",""
"
Test Case 207: Verify marking a single notification as read and unread.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Notifications page
4. Mark a single notification as read
5. Mark the same notification as unread
6. Verify status changes correctly
","3522","test_CMS_11_7_0_Mark_Single_Notification_As_Read_Unread","tests.web","Fri Sep 12 17:49:59 JST 2025","passed","Fri Sep 12 17:50:02 JST 2025","","test_11_CMS_Notifications","",""
"
    Test Case: NAF-62, NAF-63
    As a registered user I can view and update my profile settings
    Scenario: Change Password
    
    Steps:
    1. Open the app, assume the user is logged in
    2. Go to ""My Profile"" button
    3. Click on ""Edit"" button
    4. Click on ""Change Password"" button
    6. Enter new password
    7. Enter confirm password
    8. Click on ""Save"" button
    9. Verify password is changed
    ","25586","test_NAF_3_4_0_change_password","tests.android","Fri Sep 12 17:59:03 JST 2025","passed","Fri Sep 12 17:59:28 JST 2025","TestPersonInformationManagement","test_3_Account_Setup","",""
"
    Test Case: NAF-133
    As a user I should be able to make progress in the program by completing each step of it
    Scenario: Mark step as complete
    Steps:
    1. Open the app, assume the user is logged in
    2. Go to the Programs tab
    3. Click on a program card
    4. If not enrolled, enroll first
    5. Click Day 1 video
    6. Click 'Mark as complete' button
    7. Verify 'Day 1 complete!' popup is displayed
    8. Click 'Back Home' button
    9. Verify progress is not 0%
    ","0","test_NAF_4_10_0_mark_step_as_complete","tests.ios","Fri Sep 12 18:20:21 JST 2025","passed","Fri Sep 12 18:20:21 JST 2025","TestProgramManagement","test_4_Program_Management","",""
"
    Test Case: NAF-40
    As a registered user I can view and update profile image
    Scenario: Edit Profile Picture
    
    Steps:
    1. Open the app, assume the user is logged in
    2. Go to ""My Profile"" button
    3. Click on ""Edit"" button
    4. Click on ""Take a picture"" button (might not stable on simulator)
    5. Select a photo from the device
    
    Note: This test is skipped because camera functionality is not supported in the current simulator
    ","0","test_NAF_3_3_0_edit_profile_picture","tests.android","Fri Sep 12 17:57:33 JST 2025","skipped","Fri Sep 12 17:57:33 JST 2025","TestPersonInformationManagement","test_3_Account_Setup","",""
"
Test Case 199: Verify the notifications page loads correctly.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Notifications page
4. Verify tabs are displayed correctly
5. Verify table headers are present
6. Verify notification rows are loaded
","2748","test_CMS_11_1_0_Verify_Notifications_Page","tests.web","Fri Sep 12 17:49:38 JST 2025","passed","Fri Sep 12 17:49:41 JST 2025","","test_11_CMS_Notifications","",""
"
Test that a user with admin role has access to the whole list of mobile users, 
where admins are identified by ""admin"" role.

Test Steps:
1. Launch the browser
2. Go to the login page
3. Enter the admin credentials
4. Click the login button
5. Verify that the user is logged in
6. Edit user role
7. Verify that the user role is updated
","6883","test_NAF_7_6_0_Edit_User_Role","tests.web","Fri Sep 12 17:46:42 JST 2025","passed","Fri Sep 12 17:46:48 JST 2025","","test_7_CMS_Authentication","",""
"
Test that an admin user can select a video and update its details.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Video section
4. Upload a new video with random title
5. Select the uploaded video
6. Update video details
7. Verify changes are saved successfully
","10342","test_NAF_8_8_0_Update_Video_Details","tests.web","Fri Sep 12 17:47:11 JST 2025","passed","Fri Sep 12 17:47:21 JST 2025","","test_8_CMS_Video_Management","",""
"
    Test Case: NAF-110
    As a user I should be able to check programs details
    Scenario: Comment under enrolled program
    Steps:
    1. Open the app, assume the user is logged in
    2. Go to the Programs tab
    3. Click on a program card
    4. If not enrolled, enroll first
    5. Click Day 1 video
    6. Click comments entry
    7. Click write a comment
    8. Enter comment and send
    9. Verify comment is posted
    ","6","test_NAF_4_8_0_comment_under_enrolled_program","tests.android","Fri Sep 12 18:08:15 JST 2025","failed","Fri Sep 12 18:08:15 JST 2025","TestProgramManagement","test_4_Program_Management","",""
"
Test that a user with admin role can successfully log out from the CMS.

Test Steps:
1. Launch the browser
2. Go to the login page
3. Enter the admin credentials
4. Click the login button
5. Verify that the user is logged in
6. Click the logout button
7. Verify that the user is logged out
","4675","test_NAF_7_3_0_Logout_of_AdminPanel","tests.web","Fri Sep 12 17:46:17 JST 2025","passed","Fri Sep 12 17:46:22 JST 2025","","test_7_CMS_Authentication","",""
"
Test Case 201: Verify the ""Mark as read"" button functionality.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Notifications page
4. Mark the first notification as read
5. Verify notification status changes
","3811","test_CMS_11_2_0_Mark_First_Notification_As_Read","tests.web","Fri Sep 12 17:49:41 JST 2025","passed","Fri Sep 12 17:49:45 JST 2025","","test_11_CMS_Notifications","",""
"
Test that a user with admin role can login to the content management platform 
using the same credentials as for the mobile app.

Test Steps:
1. Launch the browser
2. Go to the login page
3. Enter the admin credentials
4. Click the login button
5. Verify that the user is logged in
","6237","test_NAF_7_2_0_Login_As_Admin","tests.web","Fri Sep 12 17:46:11 JST 2025","passed","Fri Sep 12 17:46:17 JST 2025","","test_7_CMS_Authentication","",""
"
    Test Case: NAF-265
    As a user, I want to join a community based on my selected stage during onboarding.
    Scenario: Verify community feed navigation
    
    Steps:
    1. Open the app, assume the user is logged in
    2. Go to ""Community"" tab
    3. Verify community feed is displayed
    4. Verify community feed navigation is working
    ","0","test_NAF_14_1_0_verify_community_feed_navigation","tests.ios","Fri Sep 12 18:20:35 JST 2025","passed","Fri Sep 12 18:20:35 JST 2025","TestCommunityManagement","test_14_Community","",""
"
    Test Case: NAF-266
    As a user I want to create text or text + image posts to share with the community
    Scenario: Verify creating a text-only post
    
    Steps:
    1. Open the app, assume the user is logged in
    2. Go to ""Community"" tab
    3. Click ""NEW POST"" button
    4. Enter text content
    5. Click ""Post"" button
    6. Verify post is created successfully
    
    Expected Result: Text-only post should be created and visible in the community feed
    ","1","test_NAF_14_2_0_create_text_only_post","tests.ios","Fri Sep 12 18:20:45 JST 2025","passed","Fri Sep 12 18:20:45 JST 2025","TestCommunityManagement","test_14_Community","",""
"
Test that an admin user can search videos by video title.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Video section
4. Upload a new video with random title
5. Search for the uploaded video by title
6. Verify search results display the correct video
","6563","test_NAF_8_3_0_Search_Videos","tests.web","Fri Sep 12 17:46:53 JST 2025","passed","Fri Sep 12 17:47:00 JST 2025","","test_8_CMS_Video_Management","",""
"
    Test Case: NAF-433
    As a user, I want to be able to log out from the app
    Scenario: Logout
    
    Steps:
    1. Open the app
    2. Go to ""My Profile"" button
    3. Click on ""Log out"" button
    4. Verify successful logout
    
    Expected Result: User should be successfully logged out and redirected to the welcome page
    ","20124","test_logout_returns_to_welcome_page","tests.android","Fri Sep 12 18:14:08 JST 2025","passed","Fri Sep 12 18:14:29 JST 2025","TestLogout","test_2_Authentication_logout","",""
"
    Test Case: NAF-15
    As a user, I want to log in with my email and password
    Scenario: Login Unsuccessful due to Non-existent Email
    
    Steps:
    1. Open the app
    2. Click on ""Log in"" button
    3. Click on ""Sign in with your email"" button
    4. Enter non-existent email: test@example.com
    5. Enter password: testpassword
    6. Click ""Log in"" button    
    7. Verify error message appears
    
    Expected Result: Error message ""There is no account associated with this email. Please sign up."" should be displayed
    ","19401","test_NAF_2_2_0_login_with_wrong_email","tests.android","Fri Sep 12 17:53:08 JST 2025","passed","Fri Sep 12 17:53:27 JST 2025","TestAuthentication","test_2_Authentication","",""
